setid,"Temperature, K",Mole fraction of sodium ethanoate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
zGbSI,298.15,0,101,1.49997,Oliveira et al. (2015),Refractive index,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGbSI,298.15,0.0501,101,1.49832,Oliveira et al. (2015),Refractive index,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGbSI,298.15,0.1001,101,1.49654,Oliveira et al. (2015),Refractive index,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGbSI,298.15,0.1605,101,1.49423,Oliveira et al. (2015),Refractive index,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGbSI,303.15,0,101,1.49867,Oliveira et al. (2015),Refractive index,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGbSI,303.15,0.0501,101,1.497,Oliveira et al. (2015),Refractive index,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGbSI,303.15,0.1001,101,1.49525,Oliveira et al. (2015),Refractive index,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGbSI,303.15,0.1605,101,1.49295,Oliveira et al. (2015),Refractive index,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGbSI,308.15,0,101,1.49732,Oliveira et al. (2015),Refractive index,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGbSI,308.15,0.0501,101,1.49567,Oliveira et al. (2015),Refractive index,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGbSI,308.15,0.1001,101,1.49392,Oliveira et al. (2015),Refractive index,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGbSI,308.15,0.1605,101,1.4916,Oliveira et al. (2015),Refractive index,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGbSI,313.15,0,101,1.49597,Oliveira et al. (2015),Refractive index,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGbSI,313.15,0.0501,101,1.49432,Oliveira et al. (2015),Refractive index,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGbSI,313.15,0.1001,101,1.49258,Oliveira et al. (2015),Refractive index,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGbSI,313.15,0.1605,101,1.49021,Oliveira et al. (2015),Refractive index,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGbSI,318.15,0,101,1.49465,Oliveira et al. (2015),Refractive index,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGbSI,318.15,0.0501,101,1.49298,Oliveira et al. (2015),Refractive index,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGbSI,318.15,0.1001,101,1.49121,Oliveira et al. (2015),Refractive index,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGbSI,318.15,0.1605,101,1.48887,Oliveira et al. (2015),Refractive index,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGbSI,323.15,0,101,1.49331,Oliveira et al. (2015),Refractive index,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGbSI,323.15,0.0501,101,1.49163,Oliveira et al. (2015),Refractive index,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGbSI,323.15,0.1001,101,1.4899,Oliveira et al. (2015),Refractive index,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGbSI,323.15,0.1605,101,1.48757,Oliveira et al. (2015),Refractive index,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
