setid,"MolaLity of 2-aminoacetic acid, mol/kg","Solvent: MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
DsWGP,0,0,298.15,101,1.3325,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0,0.0915,298.15,101,1.3359,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0,0.185,298.15,101,1.339,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0,0.2866,298.15,101,1.3414,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0,0.3496,298.15,101,1.343,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.0941,0,298.15,101,1.3333,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.0952,0.185,298.15,101,1.3405,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.0978,0.0915,298.15,101,1.337,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.1024,0.2866,298.15,101,1.3435,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.1062,0.3496,298.15,101,1.3454,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.1314,0.3496,298.15,101,1.3458,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.1336,0.185,298.15,101,1.3409,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.1348,0.2866,298.15,101,1.344,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.1375,0.0915,298.15,101,1.3373,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.1492,0,298.15,101,1.3339,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.1924,0.0915,298.15,101,1.338,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.1926,0.3496,298.15,101,1.3465,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.1972,0,298.15,101,1.3345,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.2048,0.185,298.15,101,1.3418,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.2058,0.2866,298.15,101,1.3448,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.2466,0.3496,298.15,101,1.3472,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.2546,0.0915,298.15,101,1.3389,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.2552,0.2866,298.15,101,1.3455,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.2611,0,298.15,101,1.3354,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.2812,0.185,298.15,101,1.3427,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.2824,0.2866,298.15,101,1.3458,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.2881,0.185,298.15,101,1.3428,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.29,0.3496,298.15,101,1.3478,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.2975,0,298.15,101,1.3359,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.2975,0.0915,298.15,101,1.3395,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.303,0,298.15,101,1.336,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.3437,0.3496,298.15,101,1.3484,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.3471,0.185,298.15,101,1.3437,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.3472,0.0915,298.15,101,1.3402,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.3505,0.2866,298.15,101,1.3467,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.3935,0,298.15,101,1.337,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.3955,0.2866,298.15,101,1.3473,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.3981,0.3496,298.15,101,1.3491,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.4022,0.185,298.15,101,1.3445,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.4056,0.0915,298.15,101,1.3411,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.4367,0.3496,298.15,101,1.3496,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.4375,0.2866,298.15,101,1.3478,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.4394,0.0915,298.15,101,1.3416,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.4408,0,298.15,101,1.3376,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
DsWGP,0.4644,0.185,298.15,101,1.3454,Shekaari and Jebali (2010b),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
