setid,"Temperature, K",Mole fraction of 1-methyl-3-octylimidazolium tetrafluoroborate,"Pressure, kPa","Wavelength, A",Refractive index,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
tAzha,289.883,0.004,85,632.8,1.4182,Hao et al. (2014),Refractive index,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
tAzha,289.883,0.354,85,632.8,1.4268,Hao et al. (2014),Refractive index,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
tAzha,290.622,0.007,85,632.8,1.418,Hao et al. (2014),Refractive index,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
tAzha,290.622,0.346,85,632.8,1.4264,Hao et al. (2014),Refractive index,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
tAzha,291.348,0.01,85,632.8,1.4178,Hao et al. (2014),Refractive index,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
tAzha,291.348,0.338,85,632.8,1.426,Hao et al. (2014),Refractive index,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
tAzha,292.064,0.009,85,632.8,1.4175,Hao et al. (2014),Refractive index,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
tAzha,292.064,0.325,85,632.8,1.4255,Hao et al. (2014),Refractive index,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
tAzha,292.777,0.011,85,632.8,1.4173,Hao et al. (2014),Refractive index,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
tAzha,292.777,0.317,85,632.8,1.4251,Hao et al. (2014),Refractive index,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
