setid,"Temperature, K",Mole fraction of 1-methyl-3-octylimidazolium tetrafluoroborate,"Pressure, kPa","Wavelength, A",Refractive index,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
CqFst,301.61,0.7,85,632.8,1.4285,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,302.366,0.8,85,632.8,1.429,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,302.37,0.898,85,632.8,1.4299,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,303.538,0.7,85,632.8,1.4279,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,303.938,0.898,85,632.8,1.4295,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,303.98,0.8,85,632.8,1.4286,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,305.362,0.7,85,632.8,1.4274,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,305.428,0.898,85,632.8,1.4291,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,305.584,0.5,85,632.8,1.4254,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,305.645,0.8,85,632.8,1.4282,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,306.755,0.6,85,632.8,1.4262,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,307.042,0.7,85,632.8,1.4269,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,307.101,0.8,85,632.8,1.4278,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,307.116,0.898,85,632.8,1.4286,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,307.215,0.5,85,632.8,1.4249,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,307.741,0.2,85,632.8,1.421,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,307.742,0.3,85,632.8,1.4225,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,307.996,0.399,85,632.8,1.4235,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
