setid,Mole fraction of 2-ethoxy-2-methylpropane,Mole fraction of ethanol,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
bVkGn,0,0,298.15,101,1.47889,Arce et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
bVkGn,0,0.1271,298.15,101,1.47457,Arce et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
bVkGn,0,0.1281,298.15,101,1.47476,Arce et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
bVkGn,0,0.2039,298.15,101,1.47144,Arce et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
bVkGn,0,0.2187,298.15,101,1.47092,Arce et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
bVkGn,0,0.3088,298.15,101,1.46642,Arce et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
bVkGn,0,0.3256,298.15,101,1.46557,Arce et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
bVkGn,0,0.3598,298.15,101,1.46366,Arce et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
bVkGn,0,0.4147,298.15,101,1.46005,Arce et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
bVkGn,0,0.4336,298.15,101,1.45888,Arce et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
bVkGn,0,0.4604,298.15,101,1.4568,Arce et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
