setid,Weight fraction of hexane,Weight fraction of ethanol,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
sSMSx,0,0,101,313.15,1.41861,Corderi and Gonzalez (2012),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,
sSMSx,0,0.006,101,313.15,1.41802,Corderi and Gonzalez (2012),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,
sSMSx,0,0.012,101,313.15,1.41756,Corderi and Gonzalez (2012),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,
sSMSx,0,0.027,101,313.15,1.416,Corderi and Gonzalez (2012),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,
sSMSx,0,0.046,101,313.15,1.41421,Corderi and Gonzalez (2012),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,
sSMSx,0,0.069,101,313.15,1.41205,Corderi and Gonzalez (2012),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,
sSMSx,0,0.103,101,313.15,1.40875,Corderi and Gonzalez (2012),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,
sSMSx,0,0.146,101,313.15,1.40468,Corderi and Gonzalez (2012),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,
sSMSx,0,0.215,101,313.15,1.39898,Corderi and Gonzalez (2012),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,
sSMSx,0,0.312,101,313.15,1.39104,Corderi and Gonzalez (2012),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,
