setid,"Temperature, K",Mole fraction of 1-methyl-3-octylimidazolium tetrafluoroborate,"Wavelength, A",Refractive index,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
fEbup,284.591,0.347,623.8,1.4237,Zhang et al. (2015c),Refractive index,Liquid mixture 2,Liquid mixture 1,,47,AAQxVB,CCCC(C)O,pentan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,
fEbup,285.292,0.338,623.8,1.4232,Zhang et al. (2015c),Refractive index,Liquid mixture 2,Liquid mixture 1,,47,AAQxVB,CCCC(C)O,pentan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,
fEbup,286.127,0.332,623.8,1.4227,Zhang et al. (2015c),Refractive index,Liquid mixture 2,Liquid mixture 1,,47,AAQxVB,CCCC(C)O,pentan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,
fEbup,286.889,0.319,623.8,1.422,Zhang et al. (2015c),Refractive index,Liquid mixture 2,Liquid mixture 1,,47,AAQxVB,CCCC(C)O,pentan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,
fEbup,287.648,0.315,623.8,1.4216,Zhang et al. (2015c),Refractive index,Liquid mixture 2,Liquid mixture 1,,47,AAQxVB,CCCC(C)O,pentan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,
fEbup,288.254,0.307,623.8,1.4211,Zhang et al. (2015c),Refractive index,Liquid mixture 2,Liquid mixture 1,,47,AAQxVB,CCCC(C)O,pentan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,
fEbup,288.918,0.293,623.8,1.4204,Zhang et al. (2015c),Refractive index,Liquid mixture 2,Liquid mixture 1,,47,AAQxVB,CCCC(C)O,pentan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,
fEbup,289.539,0.288,623.8,1.42,Zhang et al. (2015c),Refractive index,Liquid mixture 2,Liquid mixture 1,,47,AAQxVB,CCCC(C)O,pentan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,
fEbup,290.07,0.279,623.8,1.4195,Zhang et al. (2015c),Refractive index,Liquid mixture 2,Liquid mixture 1,,47,AAQxVB,CCCC(C)O,pentan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,
fEbup,290.614,0.271,623.8,1.419,Zhang et al. (2015c),Refractive index,Liquid mixture 2,Liquid mixture 1,,47,AAQxVB,CCCC(C)O,pentan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,
