setid,Mole fraction of ethanol,Mole fraction of water,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
yswDZ,0.0475,0.9409,100,298.15,1.35525,Gonzalez et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,
yswDZ,0.0555,0.9174,100,298.15,1.37206,Gonzalez et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,
yswDZ,0.0661,0.8839,100,298.15,1.38998,Gonzalez et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,
yswDZ,0.0844,0.9044,100,298.15,1.35878,Gonzalez et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,
yswDZ,0.0894,0.819,100,298.15,1.41128,Gonzalez et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,
yswDZ,0.0971,0.3675,100,298.15,1.46632,Gonzalez et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,
yswDZ,0.0971,0.5483,100,298.15,1.45656,Gonzalez et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,
yswDZ,0.1145,0.7501,100,298.15,1.42498,Gonzalez et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,
yswDZ,0.1282,0.1706,100,298.15,1.47059,Gonzalez et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,
yswDZ,0.1379,0.8159,100,298.15,1.38927,Gonzalez et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,
yswDZ,0.1833,0.7345,100,298.15,1.40658,Gonzalez et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,
yswDZ,0.1968,0.3269,100,298.15,1.46116,Gonzalez et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,
yswDZ,0.1994,0.4862,100,298.15,1.45015,Gonzalez et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,
yswDZ,0.2136,0.7443,100,298.15,1.38752,Gonzalez et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,
yswDZ,0.2255,0.6561,100,298.15,1.41779,Gonzalez et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,
yswDZ,0.2286,0.7619,100,298.15,1.36577,Gonzalez et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,
yswDZ,0.2592,0.7195,100,298.15,1.37513,Gonzalez et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,
yswDZ,0.2777,0.6496,100,298.15,1.40138,Gonzalez et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,
yswDZ,0.2969,0.2862,100,298.15,1.45511,Gonzalez et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,
