setid,Mole fraction of 1-butyl-3-methylimidazolium methyl sulfate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
xIgmZ,0.8986,303.15,100,1.47645,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAeWCz,CCCC(=O)OC(C)CCC,1-methylbutyl butanoate,,,,
xIgmZ,0.9199,303.15,100,1.4766,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAeWCz,CCCC(=O)OC(C)CCC,1-methylbutyl butanoate,,,,
xIgmZ,0.9426,303.15,100,1.47679,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAeWCz,CCCC(=O)OC(C)CCC,1-methylbutyl butanoate,,,,
xIgmZ,0.9602,303.15,100,1.47705,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAeWCz,CCCC(=O)OC(C)CCC,1-methylbutyl butanoate,,,,
xIgmZ,0.98,303.15,100,1.47731,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAeWCz,CCCC(=O)OC(C)CCC,1-methylbutyl butanoate,,,,
xIgmZ,0.9901,303.15,100,1.4776,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAeWCz,CCCC(=O)OC(C)CCC,1-methylbutyl butanoate,,,,
xIgmZ,1,303.15,100,1.47808,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAeWCz,CCCC(=O)OC(C)CCC,1-methylbutyl butanoate,,,,
