setid,"Temperature, K",Mole fraction of toluene,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
ZBOpo,293.15,0,100,1.4435,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZBOpo,293.15,0.0994,100,1.4457,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZBOpo,293.15,0.2022,100,1.4485,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZBOpo,293.15,0.2939,100,1.4516,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZBOpo,293.15,0.3972,100,1.4555,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZBOpo,293.15,0.5025,100,1.4601,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZBOpo,293.15,0.6068,100,1.4653,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZBOpo,293.15,0.7033,100,1.4708,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZBOpo,293.15,1,100,1.4962,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZBOpo,298.15,0,100,1.442,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZBOpo,298.15,0.0994,100,1.4441,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZBOpo,298.15,0.2022,100,1.4469,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZBOpo,298.15,0.2939,100,1.4499,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZBOpo,298.15,0.3972,100,1.4537,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZBOpo,298.15,0.5025,100,1.4582,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZBOpo,298.15,0.6068,100,1.4634,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZBOpo,298.15,0.7033,100,1.4688,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZBOpo,298.15,1,100,1.4935,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZBOpo,303.15,0,100,1.4407,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZBOpo,303.15,0.0994,100,1.4429,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZBOpo,303.15,0.2022,100,1.4457,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,
ZBOpo,303.15,0.2939,100,1.4485,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,
