setid,"Temperature, K",Weight fraction of methyltriphenylphosphonium bromide,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
gWGmx,293.15,0,101,1.46942,Ghaedi et al. (2019),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
gWGmx,293.15,0.1578,101,1.49579,Ghaedi et al. (2019),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
gWGmx,293.15,0.2306,101,1.50867,Ghaedi et al. (2019),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
gWGmx,293.15,0.2998,101,1.52077,Ghaedi et al. (2019),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
gWGmx,298.15,0,101,1.46732,Ghaedi et al. (2019),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
gWGmx,298.15,0.1578,101,1.49402,Ghaedi et al. (2019),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
gWGmx,298.15,0.2306,101,1.50694,Ghaedi et al. (2019),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
gWGmx,298.15,0.2998,101,1.51904,Ghaedi et al. (2019),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
gWGmx,303.15,0,101,1.46498,Ghaedi et al. (2019),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
gWGmx,303.15,0.1578,101,1.49224,Ghaedi et al. (2019),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
gWGmx,303.15,0.2306,101,1.50517,Ghaedi et al. (2019),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
gWGmx,303.15,0.2998,101,1.51732,Ghaedi et al. (2019),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
gWGmx,308.15,0,101,1.46285,Ghaedi et al. (2019),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
gWGmx,308.15,0.1578,101,1.49037,Ghaedi et al. (2019),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
gWGmx,308.15,0.2306,101,1.5034,Ghaedi et al. (2019),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
