setid,Mole fraction of acetone,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
pboTw,0,101.3,298.15,1.43024,Gonzalez et al. (2012a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
pboTw,0.0517,101.3,298.15,1.42964,Gonzalez et al. (2012a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
pboTw,0.1039,101.3,298.15,1.42887,Gonzalez et al. (2012a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
pboTw,0.1657,101.3,298.15,1.42801,Gonzalez et al. (2012a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
pboTw,0.2655,101.3,298.15,1.42645,Gonzalez et al. (2012a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
pboTw,0.3641,101.3,298.15,1.42415,Gonzalez et al. (2012a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
pboTw,0.4927,101.3,298.15,1.42082,Gonzalez et al. (2012a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
pboTw,0.5924,101.3,298.15,1.41676,Gonzalez et al. (2012a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
pboTw,0.6842,101.3,298.15,1.41197,Gonzalez et al. (2012a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
pboTw,0.8083,101.3,298.15,1.40143,Gonzalez et al. (2012a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
pboTw,0.8954,101.3,298.15,1.38904,Gonzalez et al. (2012a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
pboTw,0.9472,101.3,298.15,1.37677,Gonzalez et al. (2012a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
pboTw,1,101.3,298.15,1.35602,Gonzalez et al. (2012a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
