setid,Mole fraction of ethyl acetate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
xpizU,0.0522,101,298.15,1.42614,Andreatta et al. (2010b),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
xpizU,0.092,101,298.15,1.42546,Andreatta et al. (2010b),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
xpizU,0.1818,101,298.15,1.42377,Andreatta et al. (2010b),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
xpizU,0.2303,101,298.15,1.42274,Andreatta et al. (2010b),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
xpizU,0.2982,101,298.15,1.42116,Andreatta et al. (2010b),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
xpizU,0.4204,101,298.15,1.41775,Andreatta et al. (2010b),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
xpizU,0.4752,101,298.15,1.41591,Andreatta et al. (2010b),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
xpizU,0.5937,101,298.15,1.41114,Andreatta et al. (2010b),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
xpizU,0.6953,101,298.15,1.40569,Andreatta et al. (2010b),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
xpizU,0.7954,101,298.15,1.39835,Andreatta et al. (2010b),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
xpizU,0.8933,101,298.15,1.38804,Andreatta et al. (2010b),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
