setid,Weight fraction of tetraethylammonium chloride,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
XQEvQ,0.1816,293.15,101.3,1.451,Nowosielski et al. (2023),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
XQEvQ,0.1816,298.15,101.3,1.4489,Nowosielski et al. (2023),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
XQEvQ,0.1816,303.15,101.3,1.4472,Nowosielski et al. (2023),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
XQEvQ,0.1816,308.15,101.3,1.4454,Nowosielski et al. (2023),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
XQEvQ,0.1816,313.15,101.3,1.4437,Nowosielski et al. (2023),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
XQEvQ,0.1816,318.15,101.3,1.4418,Nowosielski et al. (2023),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
XQEvQ,0.1816,323.15,101.3,1.4399,Nowosielski et al. (2023),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
XQEvQ,0.1816,328.15,101.3,1.4382,Nowosielski et al. (2023),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
XQEvQ,0.1816,333.15,101.3,1.4366,Nowosielski et al. (2023),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
XQEvQ,0.2167,293.15,101.3,1.4531,Nowosielski et al. (2023),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
XQEvQ,0.2167,298.15,101.3,1.4511,Nowosielski et al. (2023),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
XQEvQ,0.2167,303.15,101.3,1.4492,Nowosielski et al. (2023),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
XQEvQ,0.2167,308.15,101.3,1.4475,Nowosielski et al. (2023),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
XQEvQ,0.2167,313.15,101.3,1.4453,Nowosielski et al. (2023),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
XQEvQ,0.2167,318.15,101.3,1.4438,Nowosielski et al. (2023),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
XQEvQ,0.2167,323.15,101.3,1.442,Nowosielski et al. (2023),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
XQEvQ,0.2167,328.15,101.3,1.4397,Nowosielski et al. (2023),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
XQEvQ,0.2167,333.15,101.3,1.4381,Nowosielski et al. (2023),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
XQEvQ,0.2664,293.15,101.3,1.456,Nowosielski et al. (2023),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
XQEvQ,0.2664,298.15,101.3,1.4542,Nowosielski et al. (2023),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
XQEvQ,0.2664,303.15,101.3,1.4526,Nowosielski et al. (2023),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
XQEvQ,0.2664,308.15,101.3,1.4509,Nowosielski et al. (2023),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
XQEvQ,0.2664,313.15,101.3,1.449,Nowosielski et al. (2023),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
XQEvQ,0.2664,318.15,101.3,1.4474,Nowosielski et al. (2023),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
XQEvQ,0.2664,323.15,101.3,1.4455,Nowosielski et al. (2023),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
XQEvQ,0.2664,328.15,101.3,1.4439,Nowosielski et al. (2023),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
XQEvQ,0.2664,333.15,101.3,1.4424,Nowosielski et al. (2023),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
