setid,Mole fraction of tetraethylammonium chloride,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
vSpYH,0.333,298.15,100,1.456,Chen et al. (2022a),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AALcAl,CC(=O)O,acetic acid,,,,
vSpYH,0.333,308.15,100,1.4533,Chen et al. (2022a),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AALcAl,CC(=O)O,acetic acid,,,,
vSpYH,0.333,318.15,100,1.4505,Chen et al. (2022a),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AALcAl,CC(=O)O,acetic acid,,,,
vSpYH,0.333,328.15,100,1.448,Chen et al. (2022a),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AALcAl,CC(=O)O,acetic acid,,,,
