setid,Mole fraction of 1-hexyl-3-methylimidazolium hexafluorophosphate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
toxWs,0,298.15,101,1.35566,Pereiro et al. (2006b),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
toxWs,0.0462,298.15,101,1.36998,Pereiro et al. (2006b),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
toxWs,0.0911,298.15,101,1.3794,Pereiro et al. (2006b),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
toxWs,0.1933,298.15,101,1.39202,Pereiro et al. (2006b),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
toxWs,0.2775,298.15,101,1.39899,Pereiro et al. (2006b),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
toxWs,0.3621,298.15,101,1.40383,Pereiro et al. (2006b),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
toxWs,0.468,298.15,101,1.40814,Pereiro et al. (2006b),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
toxWs,0.5483,298.15,101,1.4104,Pereiro et al. (2006b),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
toxWs,0.6029,298.15,101,1.41169,Pereiro et al. (2006b),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
toxWs,0.7127,298.15,101,1.41389,Pereiro et al. (2006b),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
toxWs,0.8174,298.15,101,1.41565,Pereiro et al. (2006b),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
toxWs,0.911,298.15,101,1.41684,Pereiro et al. (2006b),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
toxWs,0.9518,298.15,101,1.41731,Pereiro et al. (2006b),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
toxWs,1,298.15,101,1.41787,Pereiro et al. (2006b),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
