setid,"Temperature, K",Mole fraction of 1-octyl-3-methylimidazolium hexafluorophosphate,"Pressure, kPa","Wavelength, A",Refractive index,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
GIClC,309.162,0,85,632.8,1.3775,Cui et al. (2014),Refractive index,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
GIClC,312.045,0,85,632.8,1.3759,Cui et al. (2014),Refractive index,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
GIClC,312.062,1,85,632.8,1.4179,Cui et al. (2014),Refractive index,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
GIClC,314.468,1,85,632.8,1.4173,Cui et al. (2014),Refractive index,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
GIClC,315.179,0,85,632.8,1.3742,Cui et al. (2014),Refractive index,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
GIClC,316.92,1,85,632.8,1.4166,Cui et al. (2014),Refractive index,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
GIClC,317.226,0.699,85,632.8,1.4113,Cui et al. (2014),Refractive index,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
GIClC,317.354,0.803,85,632.8,1.4134,Cui et al. (2014),Refractive index,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
GIClC,317.355,0.991,85,632.8,1.4149,Cui et al. (2014),Refractive index,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
GIClC,317.381,0.398,85,632.8,1.4034,Cui et al. (2014),Refractive index,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
GIClC,318.149,0,85,632.8,1.3725,Cui et al. (2014),Refractive index,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
GIClC,319.127,0.5,85,632.8,1.4064,Cui et al. (2014),Refractive index,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
GIClC,319.2,1,85,632.8,1.416,Cui et al. (2014),Refractive index,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
GIClC,319.247,0.699,85,632.8,1.4107,Cui et al. (2014),Refractive index,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
GIClC,319.259,0.803,85,632.8,1.4129,Cui et al. (2014),Refractive index,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
GIClC,319.297,0.991,85,632.8,1.4144,Cui et al. (2014),Refractive index,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
GIClC,319.308,0.398,85,632.8,1.4028,Cui et al. (2014),Refractive index,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
GIClC,319.627,0.601,85,632.8,1.4088,Cui et al. (2014),Refractive index,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
GIClC,320.766,0.5,85,632.8,1.4059,Cui et al. (2014),Refractive index,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
GIClC,321.108,0,85,632.8,1.3708,Cui et al. (2014),Refractive index,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
GIClC,321.174,0.1,85,632.8,1.3834,Cui et al. (2014),Refractive index,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
GIClC,321.279,0.991,85,632.8,1.4139,Cui et al. (2014),Refractive index,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
GIClC,321.319,1,85,632.8,1.4155,Cui et al. (2014),Refractive index,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
GIClC,321.34,0.803,85,632.8,1.4124,Cui et al. (2014),Refractive index,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
GIClC,321.372,0.2,85,632.8,1.3919,Cui et al. (2014),Refractive index,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
