setid,Weight fraction of water,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
qNPCW,0.0076,308.15,101,1.492,Tong et al. (2011b),Refractive index,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,,
qNPCW,0.0076,313.15,101,1.4909,Tong et al. (2011b),Refractive index,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,,
qNPCW,0.0076,318.15,101,1.4897,Tong et al. (2011b),Refractive index,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,,
qNPCW,0.0076,323.15,101,1.4883,Tong et al. (2011b),Refractive index,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,,
qNPCW,0.0076,328.15,101,1.4869,Tong et al. (2011b),Refractive index,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,,
qNPCW,0.0092,308.15,101,1.4921,Tong et al. (2011b),Refractive index,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,,
qNPCW,0.0092,313.15,101,1.4911,Tong et al. (2011b),Refractive index,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,,
qNPCW,0.0092,318.15,101,1.4898,Tong et al. (2011b),Refractive index,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,,
qNPCW,0.0092,323.15,101,1.4885,Tong et al. (2011b),Refractive index,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,,
qNPCW,0.0092,328.15,101,1.4871,Tong et al. (2011b),Refractive index,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,,
qNPCW,0.0118,308.15,101,1.4923,Tong et al. (2011b),Refractive index,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,,
qNPCW,0.0118,313.15,101,1.4913,Tong et al. (2011b),Refractive index,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,,
qNPCW,0.0118,318.15,101,1.4901,Tong et al. (2011b),Refractive index,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,,
qNPCW,0.0118,323.15,101,1.4887,Tong et al. (2011b),Refractive index,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,,
qNPCW,0.0118,328.15,101,1.4873,Tong et al. (2011b),Refractive index,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,,
qNPCW,0.0136,308.15,101,1.4925,Tong et al. (2011b),Refractive index,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,,
qNPCW,0.0136,313.15,101,1.4915,Tong et al. (2011b),Refractive index,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,,
qNPCW,0.0136,318.15,101,1.4903,Tong et al. (2011b),Refractive index,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,,
qNPCW,0.0136,323.15,101,1.4889,Tong et al. (2011b),Refractive index,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,,
qNPCW,0.0136,328.15,101,1.4875,Tong et al. (2011b),Refractive index,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,,
