setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium bromide,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
tqdOx,298.15,0,100,1.4001,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
tqdOx,298.15,0.1002,100,1.4358,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
tqdOx,298.15,0.1999,100,1.4643,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
tqdOx,298.15,0.3002,100,1.4861,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
tqdOx,298.15,0.4,100,1.5025,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
tqdOx,298.15,0.5,100,1.5143,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
tqdOx,298.15,0.5999,100,1.5227,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
tqdOx,298.15,0.7002,100,1.5292,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
tqdOx,298.15,0.8,100,1.5354,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
tqdOx,298.15,0.8975,100,1.5408,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
tqdOx,298.15,1,100,1.5452,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
tqdOx,303.15,0,100,1.3985,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
