setid,Mole fraction of diethylammonium acetate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
iLUEN,0,101,298.15,1.33,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,,
iLUEN,0.0366,101,298.15,1.346,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,,
iLUEN,0.0532,101,298.15,1.355,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,,
iLUEN,0.0803,101,298.15,1.365,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,,
iLUEN,0.1059,101,298.15,1.374,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,,
iLUEN,0.1265,101,298.15,1.38,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,,
iLUEN,0.1792,101,298.15,1.395,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,,
iLUEN,0.2567,101,298.15,1.41,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,,
iLUEN,0.2821,101,298.15,1.415,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,,
iLUEN,0.3438,101,298.15,1.422,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,,
iLUEN,0.3818,101,298.15,1.425,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,,
iLUEN,0.4259,101,298.15,1.427,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,,
iLUEN,0.4783,101,298.15,1.428,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,,
iLUEN,0.541,101,298.15,1.429,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,,
iLUEN,0.5773,101,298.15,1.43,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,,
iLUEN,0.6627,101,298.15,1.427,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,,
iLUEN,0.7134,101,298.15,1.426,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,,
iLUEN,0.7707,101,298.15,1.424,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,,
iLUEN,0.8363,101,298.15,1.425,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,,
iLUEN,0.9119,101,298.15,1.426,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,,
iLUEN,1,101,298.15,1.431,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,,
