setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium methyl sulfate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
uRMVA,293.15,0,100,1.387,Masilo and Bahadur (2021),Refractive index,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAOMRa,CCC(=O)O,propanoic acid,,,,
uRMVA,293.15,0.0449,100,1.399,Masilo and Bahadur (2021),Refractive index,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAOMRa,CCC(=O)O,propanoic acid,,,,
uRMVA,293.15,0.0939,100,1.411,Masilo and Bahadur (2021),Refractive index,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAOMRa,CCC(=O)O,propanoic acid,,,,
uRMVA,293.15,0.2013,100,1.43,Masilo and Bahadur (2021),Refractive index,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAOMRa,CCC(=O)O,propanoic acid,,,,
uRMVA,293.15,0.3004,100,1.442,Masilo and Bahadur (2021),Refractive index,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAOMRa,CCC(=O)O,propanoic acid,,,,
uRMVA,293.15,0.3959,100,1.451,Masilo and Bahadur (2021),Refractive index,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAOMRa,CCC(=O)O,propanoic acid,,,,
uRMVA,293.15,0.5029,100,1.461,Masilo and Bahadur (2021),Refractive index,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAOMRa,CCC(=O)O,propanoic acid,,,,
uRMVA,293.15,0.5917,100,1.465,Masilo and Bahadur (2021),Refractive index,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAOMRa,CCC(=O)O,propanoic acid,,,,
uRMVA,293.15,0.6837,100,1.468,Masilo and Bahadur (2021),Refractive index,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAOMRa,CCC(=O)O,propanoic acid,,,,
uRMVA,293.15,0.7941,100,1.47,Masilo and Bahadur (2021),Refractive index,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAOMRa,CCC(=O)O,propanoic acid,,,,
