setid,"Temperature, K",Mole fraction of 1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
XarUf,288.15,0,101,1.3638,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAIsrh,CCO,ethanol,,,,
XarUf,288.15,0.02,101,1.3702,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAIsrh,CCO,ethanol,,,,
XarUf,288.15,0.0497,101,1.3776,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAIsrh,CCO,ethanol,,,,
XarUf,288.15,0.066,101,1.3812,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAIsrh,CCO,ethanol,,,,
XarUf,288.15,0.1001,101,1.3877,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAIsrh,CCO,ethanol,,,,
XarUf,288.15,0.1499,101,1.3954,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAIsrh,CCO,ethanol,,,,
XarUf,288.15,0.1993,101,1.4015,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAIsrh,CCO,ethanol,,,,
XarUf,288.15,0.3003,101,1.4108,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAIsrh,CCO,ethanol,,,,
XarUf,288.15,0.401,101,1.4174,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAIsrh,CCO,ethanol,,,,
XarUf,288.15,0.4998,101,1.4222,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAIsrh,CCO,ethanol,,,,
XarUf,288.15,0.5979,101,1.426,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAIsrh,CCO,ethanol,,,,
XarUf,288.15,0.7035,101,1.4292,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAIsrh,CCO,ethanol,,,,
XarUf,288.15,0.798,101,1.4315,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAIsrh,CCO,ethanol,,,,
XarUf,288.15,0.8488,101,1.4326,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAIsrh,CCO,ethanol,,,,
XarUf,288.15,0.8997,101,1.4336,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAIsrh,CCO,ethanol,,,,
XarUf,288.15,0.9477,101,1.4345,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAIsrh,CCO,ethanol,,,,
XarUf,288.15,1,101,1.4353,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AAIsrh,CCO,ethanol,,,,
