setid,"Temperature, K","Pressure, kPa",Mole fraction of benzyltributylammonium chloride,Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
NPMeU,283.15,100,0.25,1.4936,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,,
NPMeU,288.15,100,0.25,1.4921,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,,
NPMeU,293.15,100,0.25,1.4906,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,,
NPMeU,298.15,100,0.25,1.4889,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,,
NPMeU,303.15,100,0.25,1.4874,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,,
NPMeU,308.15,100,0.25,1.4857,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,,
NPMeU,313.15,100,0.25,1.4842,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,,
NPMeU,318.15,100,0.25,1.4827,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,,
NPMeU,323.15,100,0.25,1.4811,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,,
NPMeU,328.15,100,0.25,1.4795,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,,
NPMeU,333.15,100,0.25,1.4779,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,,
NPMeU,338.15,100,0.25,1.4764,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,,
NPMeU,343.15,100,0.25,1.4748,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,,
