setid,"MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
rVFQJ,0.0909,298.15,101,1.3357,Shekaari and Jebali (2010b),Refractive index,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rVFQJ,0.0915,298.15,101,1.3359,Shekaari and Jebali (2010b),Refractive index,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rVFQJ,0.097,298.15,101,1.336,Shekaari and Jebali (2010b),Refractive index,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rVFQJ,0.1797,298.15,101,1.3382,Shekaari and Jebali (2010b),Refractive index,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rVFQJ,0.1833,298.15,101,1.3388,Shekaari and Jebali (2010b),Refractive index,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rVFQJ,0.185,298.15,101,1.339,Shekaari and Jebali (2010b),Refractive index,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rVFQJ,0.267,298.15,101,1.3407,Shekaari and Jebali (2010b),Refractive index,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rVFQJ,0.2863,298.15,101,1.3416,Shekaari and Jebali (2010b),Refractive index,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rVFQJ,0.2866,298.15,101,1.3414,Shekaari and Jebali (2010b),Refractive index,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rVFQJ,0.3496,298.15,101,1.343,Shekaari and Jebali (2010b),Refractive index,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rVFQJ,0.3564,298.15,101,1.3433,Shekaari and Jebali (2010b),Refractive index,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rVFQJ,0.3651,298.15,101,1.3437,Shekaari and Jebali (2010b),Refractive index,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
