setid,Mole fraction of butanone,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
CzXRJ,0.0471,100,298.15,1.4808,Lee et al. (2017),Refractive index,Liquid,AANtck,CCC(C)=O,butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
CzXRJ,0.0996,100,298.15,1.479,Lee et al. (2017),Refractive index,Liquid,AANtck,CCC(C)=O,butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
CzXRJ,0.198,100,298.15,1.4769,Lee et al. (2017),Refractive index,Liquid,AANtck,CCC(C)=O,butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
CzXRJ,0.2994,100,298.15,1.4759,Lee et al. (2017),Refractive index,Liquid,AANtck,CCC(C)=O,butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
CzXRJ,0.3986,100,298.15,1.4729,Lee et al. (2017),Refractive index,Liquid,AANtck,CCC(C)=O,butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
CzXRJ,0.4996,100,298.15,1.469,Lee et al. (2017),Refractive index,Liquid,AANtck,CCC(C)=O,butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
CzXRJ,0.5997,100,298.15,1.4643,Lee et al. (2017),Refractive index,Liquid,AANtck,CCC(C)=O,butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
CzXRJ,0.6991,100,298.15,1.4564,Lee et al. (2017),Refractive index,Liquid,AANtck,CCC(C)=O,butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
CzXRJ,0.7992,100,298.15,1.4474,Lee et al. (2017),Refractive index,Liquid,AANtck,CCC(C)=O,butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
CzXRJ,0.9001,100,298.15,1.4237,Lee et al. (2017),Refractive index,Liquid,AANtck,CCC(C)=O,butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
CzXRJ,0.95,100,298.15,1.4062,Lee et al. (2017),Refractive index,Liquid,AANtck,CCC(C)=O,butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
