setid,"Temperature, K",Mole fraction of water,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
rdynU,298.15,0,100,1.48296,Gomez et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
rdynU,298.15,0.0497,100,1.48187,Gomez et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
rdynU,298.15,0.1475,100,1.47986,Gomez et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
rdynU,298.15,0.2128,100,1.47824,Gomez et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
rdynU,298.15,0.3086,100,1.47536,Gomez et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
rdynU,298.15,0.3869,100,1.47252,Gomez et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
rdynU,298.15,0.4947,100,1.46739,Gomez et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
rdynU,298.15,0.5959,100,1.46071,Gomez et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
rdynU,298.15,0.6947,100,1.45105,Gomez et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
rdynU,298.15,0.7966,100,1.43485,Gomez et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
rdynU,298.15,0.8962,100,1.40572,Gomez et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
rdynU,298.15,0.9485,100,1.37848,Gomez et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
rdynU,298.15,1,100,1.33251,Gomez et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
