setid,"Temperature, K",Mole fraction of 1-octyl-3-methylimidazolium hexafluorophosphate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
Aterh,293.15,0,101,1.39428,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
Aterh,293.15,0.1078,101,1.40113,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
Aterh,293.15,0.2016,101,1.40658,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
Aterh,293.15,0.3056,101,1.41215,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
Aterh,293.15,0.3855,101,1.41536,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
Aterh,293.15,0.4815,101,1.41829,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
Aterh,293.15,0.5918,101,1.42036,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
Aterh,293.15,0.6857,101,1.42188,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
Aterh,293.15,0.7784,101,1.42339,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
Aterh,293.15,0.8946,101,1.42502,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
Aterh,293.15,1,101,1.42649,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
Aterh,298.15,0,101,1.39188,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
Aterh,298.15,0.1078,101,1.39916,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
Aterh,298.15,0.2016,101,1.40486,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
