setid,Mole fraction of butanoic acid,Mole fraction of hexane,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
Uywjf,0.1702,0.1998,303.15,100,1.46801,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane,
Uywjf,0.2449,0.1936,303.15,100,1.46503,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane,
Uywjf,0.4103,0.18,303.15,100,1.45658,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane,
Uywjf,0.4594,0.1901,303.15,100,1.44841,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane,
Uywjf,0.5438,0.1838,303.15,100,1.44102,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane,
Uywjf,0.59,0.2097,303.15,100,1.43038,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane,
Uywjf,0.6399,0.33,303.15,100,1.39345,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane,
Uywjf,0.6473,0.2108,303.15,100,1.42499,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane,
Uywjf,0.6702,0.2899,303.15,100,1.4011,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane,
Uywjf,0.6731,0.2412,303.15,100,1.41498,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane,
Uywjf,0.6733,0.2688,303.15,100,1.40801,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane,
Uywjf,0.6801,0.2911,303.15,100,1.39664,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxlj,CCCC(=O)O,butanoic acid,AAQdzy,CCCCCC,hexane,
