setid,"MolaLity of trimethylbenzylammonium chloride, mol/kg","Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
CDDcj,0.001,298.15,101.3,1.332,Roy et al. (2024),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,,
CDDcj,0.001,308.15,101.3,1.3315,Roy et al. (2024),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,,
CDDcj,0.001,318.15,101.3,1.3309,Roy et al. (2024),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,,
CDDcj,0.003,298.15,101.3,1.3323,Roy et al. (2024),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,,
CDDcj,0.003,308.15,101.3,1.3317,Roy et al. (2024),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,,
CDDcj,0.003,318.15,101.3,1.3311,Roy et al. (2024),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,,
CDDcj,0.005,298.15,101.3,1.3328,Roy et al. (2024),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,,
CDDcj,0.005,308.15,101.3,1.3321,Roy et al. (2024),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,,
CDDcj,0.005,318.15,101.3,1.3314,Roy et al. (2024),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,,
