setid,"Mole fraction of 1,1,3,3-tetramethylguanidinium imidazol-1-ide","Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
IyfdZ,0,100,298.15,1.3598,Ye et al. (2016),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
IyfdZ,0.0483,100,298.15,1.3799,Ye et al. (2016),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
IyfdZ,0.0999,100,298.15,1.3983,Ye et al. (2016),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
IyfdZ,0.2003,100,298.15,1.4242,Ye et al. (2016),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
IyfdZ,0.3001,100,298.15,1.4405,Ye et al. (2016),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
IyfdZ,0.3999,100,298.15,1.4547,Ye et al. (2016),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
IyfdZ,0.5,100,298.15,1.4652,Ye et al. (2016),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
IyfdZ,0.643,100,298.15,1.4762,Ye et al. (2016),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
IyfdZ,0.7966,100,298.15,1.4854,Ye et al. (2016),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
IyfdZ,0.8987,100,298.15,1.4903,Ye et al. (2016),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
IyfdZ,1,100,298.15,1.4943,Ye et al. (2016),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
