setid,"MolaLity of 1-methyl-3-tetradecylimidazolium bromide, mol/kg","Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
RpDBS,0.0002632,298.15,101,1.33252,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
RpDBS,0.0002632,308.15,101,1.33129,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
RpDBS,0.0002632,318.15,101,1.3298,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
RpDBS,0.000526,298.15,101,1.33254,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
RpDBS,0.000526,308.15,101,1.33132,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
RpDBS,0.000526,318.15,101,1.32982,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
RpDBS,0.000789,298.15,101,1.33256,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
RpDBS,0.000789,308.15,101,1.33133,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
RpDBS,0.000789,318.15,101,1.32983,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
RpDBS,0.001053,298.15,101,1.33258,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
RpDBS,0.001053,308.15,101,1.33135,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
RpDBS,0.001053,318.15,101,1.32985,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
RpDBS,0.001316,298.15,101,1.3326,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
RpDBS,0.001316,308.15,101,1.33137,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
RpDBS,0.001316,318.15,101,1.32987,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
RpDBS,0.001579,298.15,101,1.33262,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
RpDBS,0.001579,308.15,101,1.33139,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
RpDBS,0.001579,318.15,101,1.32989,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
RpDBS,0.001842,298.15,101,1.33264,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
RpDBS,0.001842,308.15,101,1.3314,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
RpDBS,0.001842,318.15,101,1.3299,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
RpDBS,0.002105,298.15,101,1.33266,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
