setid,"Temperature, K","Mole fraction of 2-hydroxy-N,N,N-trimethylethanaminium glycinate","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
hNRvM,298.15,0,100,1.32659,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,298.15,0.1002,100,1.38595,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,298.15,0.2001,100,1.41881,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,298.15,0.2997,100,1.4404,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,298.15,0.4004,100,1.45482,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,298.15,0.4994,100,1.46504,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,298.15,0.6,100,1.4734,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,298.15,0.6997,100,1.47955,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,298.15,0.8001,100,1.4848,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,298.15,0.9,100,1.48876,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,298.15,1,100,1.49224,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,303.15,0,100,1.32454,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,303.15,0.1002,100,1.38453,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,303.15,0.2001,100,1.41742,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,303.15,0.2997,100,1.43923,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,303.15,0.4004,100,1.45348,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,303.15,0.4994,100,1.4636,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,303.15,0.6,100,1.47192,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,303.15,0.6997,100,1.47816,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,303.15,0.8001,100,1.48343,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,303.15,0.9,100,1.48757,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,303.15,1,100,1.49102,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,308.15,0,100,1.32416,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,308.15,0.1002,100,1.38287,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,308.15,0.2001,100,1.41629,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,308.15,0.2997,100,1.43817,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,308.15,0.4004,100,1.45239,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,308.15,0.4994,100,1.46224,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,308.15,0.6,100,1.47058,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,308.15,0.6997,100,1.47686,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,308.15,0.8001,100,1.48214,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,308.15,0.9,100,1.48625,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,308.15,1,100,1.48974,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,313.15,0,100,1.32367,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,313.15,0.1002,100,1.38138,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
hNRvM,313.15,0.2001,100,1.41491,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAGIBL,CO,methanol,,,,
