setid,Mole fraction of water,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
AQEJJ,0,100,298.15,1.51227,Vatascin and Dohnal (2015),Refractive index,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,,
AQEJJ,0.10843,100,298.15,1.50965,Vatascin and Dohnal (2015),Refractive index,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,,
AQEJJ,0.20586,100,298.15,1.50681,Vatascin and Dohnal (2015),Refractive index,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,,
AQEJJ,0.30583,100,298.15,1.50438,Vatascin and Dohnal (2015),Refractive index,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,,
AQEJJ,0.41447,100,298.15,1.49961,Vatascin and Dohnal (2015),Refractive index,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,,
AQEJJ,0.51277,100,298.15,1.49477,Vatascin and Dohnal (2015),Refractive index,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,,
AQEJJ,0.60952,100,298.15,1.487,Vatascin and Dohnal (2015),Refractive index,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,,
AQEJJ,0.70645,100,298.15,1.4765,Vatascin and Dohnal (2015),Refractive index,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,,
AQEJJ,0.78902,100,298.15,1.46324,Vatascin and Dohnal (2015),Refractive index,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,,
AQEJJ,0.90153,100,298.15,1.42697,Vatascin and Dohnal (2015),Refractive index,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,,
AQEJJ,0.9513,100,298.15,1.39433,Vatascin and Dohnal (2015),Refractive index,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,,
AQEJJ,0.98687,100,298.15,1.35455,Vatascin and Dohnal (2015),Refractive index,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,,
AQEJJ,1,100,298.15,1.33252,Vatascin and Dohnal (2015),Refractive index,Liquid,AADYJk,O,water,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,,
