setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium bromide,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
rUtSP,298.15,0,101,1.3973,Teodorescu (2014),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rUtSP,298.15,0.094,101,1.4203,Teodorescu (2014),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rUtSP,298.15,0.193,101,1.4404,Teodorescu (2014),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rUtSP,298.15,0.271,101,1.4549,Teodorescu (2014),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rUtSP,298.15,0.345,101,1.4663,Teodorescu (2014),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rUtSP,298.15,0.466,101,1.4834,Teodorescu (2014),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rUtSP,298.15,0.584,101,1.4979,Teodorescu (2014),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rUtSP,298.15,0.667,101,1.507,Teodorescu (2014),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rUtSP,298.15,0.779,101,1.5179,Teodorescu (2014),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rUtSP,298.15,0.818,101,1.521,Teodorescu (2014),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rUtSP,298.15,1,101,1.5353,Teodorescu (2014),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rUtSP,308.15,0,101,1.3932,Teodorescu (2014),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rUtSP,308.15,0.094,101,1.4166,Teodorescu (2014),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rUtSP,308.15,0.193,101,1.4369,Teodorescu (2014),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rUtSP,308.15,0.271,101,1.4515,Teodorescu (2014),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rUtSP,308.15,0.345,101,1.463,Teodorescu (2014),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rUtSP,308.15,0.466,101,1.4803,Teodorescu (2014),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rUtSP,308.15,0.584,101,1.4949,Teodorescu (2014),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rUtSP,308.15,0.667,101,1.504,Teodorescu (2014),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rUtSP,308.15,0.779,101,1.5149,Teodorescu (2014),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rUtSP,308.15,0.818,101,1.5181,Teodorescu (2014),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
rUtSP,308.15,1,101,1.5326,Teodorescu (2014),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
