setid,"Temperature, K",Mole fraction of butylammonium acetate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
jxGHX,298.15,0.0315,101.3,1.3875,Xu et al. (2012b),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
jxGHX,298.15,0.0601,101.3,1.3912,Xu et al. (2012b),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
jxGHX,298.15,0.0977,101.3,1.3953,Xu et al. (2012b),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
jxGHX,298.15,0.198,101.3,1.4045,Xu et al. (2012b),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
jxGHX,298.15,0.3002,101.3,1.4122,Xu et al. (2012b),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
jxGHX,298.15,0.4021,101.3,1.4185,Xu et al. (2012b),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
jxGHX,298.15,0.497,101.3,1.4236,Xu et al. (2012b),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
jxGHX,298.15,0.6487,101.3,1.4305,Xu et al. (2012b),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
jxGHX,298.15,0.799,101.3,1.4362,Xu et al. (2012b),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
jxGHX,298.15,0.8981,101.3,1.4395,Xu et al. (2012b),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
