setid,Mole fraction of ethanol,Mole fraction of water,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
hPtyx,0.0408,0.9476,298.15,101,1.35378,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.0467,0.554,298.15,101,1.49097,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.0502,0.9468,298.15,101,1.34374,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.0504,0.944,298.15,101,1.34716,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.052,0.8615,298.15,101,1.42339,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.0542,0.6594,298.15,101,1.47701,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.0549,0.7567,298.15,101,1.45831,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.0575,0.5585,298.15,101,1.48868,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.1008,0.8173,298.15,101,1.41988,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.1054,0.7163,298.15,101,1.45364,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.1077,0.6221,298.15,101,1.47228,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.1104,0.527,298.15,101,1.48387,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.1118,0.4552,298.15,101,1.49314,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.1461,0.7761,298.15,101,1.41663,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.1502,0.5925,298.15,101,1.46777,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.1637,0.4956,298.15,101,1.47932,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.1932,0.646,298.15,101,1.44553,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
