setid,"Temperature, K",Mole fraction of tetrabutylammonium chloride,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
YsfIH,293.15,0.2,101,1.4615,Mjalli et al. (2014b),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
YsfIH,293.15,0.25,101,1.4653,Mjalli et al. (2014b),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
YsfIH,293.15,0.333,101,1.4703,Mjalli et al. (2014b),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
YsfIH,303.15,0.2,101,1.4585,Mjalli et al. (2014b),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
YsfIH,303.15,0.25,101,1.4619,Mjalli et al. (2014b),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
YsfIH,303.15,0.333,101,1.4672,Mjalli et al. (2014b),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
YsfIH,313.15,0.2,101,1.4554,Mjalli et al. (2014b),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
YsfIH,313.15,0.25,101,1.4587,Mjalli et al. (2014b),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
YsfIH,313.15,0.333,101,1.4641,Mjalli et al. (2014b),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
YsfIH,323.15,0.2,101,1.4523,Mjalli et al. (2014b),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
YsfIH,323.15,0.25,101,1.4556,Mjalli et al. (2014b),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
YsfIH,323.15,0.333,101,1.4609,Mjalli et al. (2014b),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
YsfIH,333.15,0.2,101,1.4491,Mjalli et al. (2014b),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
YsfIH,333.15,0.25,101,1.4525,Mjalli et al. (2014b),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
YsfIH,333.15,0.333,101,1.4578,Mjalli et al. (2014b),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
YsfIH,343.15,0.2,101,1.445,Mjalli et al. (2014b),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
YsfIH,343.15,0.25,101,1.4495,Mjalli et al. (2014b),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
YsfIH,343.15,0.333,101,1.4545,Mjalli et al. (2014b),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
YsfIH,353.15,0.2,101,1.4427,Mjalli et al. (2014b),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
YsfIH,353.15,0.25,101,1.4469,Mjalli et al. (2014b),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
YsfIH,353.15,0.333,101,1.4509,Mjalli et al. (2014b),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
