setid,Mole fraction of lithium bis((trifluoromethyl)sulfonyl)amide,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
WGFRu,0.333,298.15,100,1.3816,Chen et al. (2022a),Refractive index,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AALcAl,CC(=O)O,acetic acid,,,,
WGFRu,0.333,308.15,100,1.3783,Chen et al. (2022a),Refractive index,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AALcAl,CC(=O)O,acetic acid,,,,
WGFRu,0.333,318.15,100,1.3751,Chen et al. (2022a),Refractive index,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AALcAl,CC(=O)O,acetic acid,,,,
WGFRu,0.333,328.15,100,1.3739,Chen et al. (2022a),Refractive index,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AALcAl,CC(=O)O,acetic acid,,,,
