setid,"MolaLity of 1-hexyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate, mol/kg","Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
ulziO,0.1068,298.2,87,1.3406,Shekaari et al. (2019b),Refractive index,Liquid,ABThEt,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCn1cc[n+](C)c1,1-hexyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water,,,,
ulziO,0.1982,298.2,87,1.3456,Shekaari et al. (2019b),Refractive index,Liquid,ABThEt,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCn1cc[n+](C)c1,1-hexyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water,,,,
ulziO,0.2961,298.2,87,1.3508,Shekaari et al. (2019b),Refractive index,Liquid,ABThEt,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCn1cc[n+](C)c1,1-hexyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water,,,,
ulziO,0.2966,298.2,87,1.3508,Shekaari et al. (2019b),Refractive index,Liquid,ABThEt,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCn1cc[n+](C)c1,1-hexyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water,,,,
