setid,"Temperature, K",Weight fraction of 1-ethyl-3-methylimidazolium diethyl phosphate,Weight fraction of 4-methyldibenzothiophene,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
jsiky,298.1,0.9096,0.0808,101,1.4905,Oliveira and Aznar (2010),Refractive index,Liquid,AAgnKZ,CCCCCCCCCCCC,dodecane,AAmGMw,Cc1cccc2c1sc1ccccc12,4-methyldibenzothiophene,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,
jsiky,298.1,0.9312,0.0627,101,1.4852,Oliveira and Aznar (2010),Refractive index,Liquid,AAgnKZ,CCCCCCCCCCCC,dodecane,AAmGMw,Cc1cccc2c1sc1ccccc12,4-methyldibenzothiophene,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,
jsiky,298.1,0.9522,0.0434,101,1.4812,Oliveira and Aznar (2010),Refractive index,Liquid,AAgnKZ,CCCCCCCCCCCC,dodecane,AAmGMw,Cc1cccc2c1sc1ccccc12,4-methyldibenzothiophene,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,
jsiky,298.1,0.9736,0.0225,101,1.477,Oliveira and Aznar (2010),Refractive index,Liquid,AAgnKZ,CCCCCCCCCCCC,dodecane,AAmGMw,Cc1cccc2c1sc1ccccc12,4-methyldibenzothiophene,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,
jsiky,298.1,0.9967,0,101,1.4724,Oliveira and Aznar (2010),Refractive index,Liquid,AAgnKZ,CCCCCCCCCCCC,dodecane,AAmGMw,Cc1cccc2c1sc1ccccc12,4-methyldibenzothiophene,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,
jsiky,313,0.9022,0.0888,101,1.4866,Oliveira and Aznar (2010),Refractive index,Liquid,AAgnKZ,CCCCCCCCCCCC,dodecane,AAmGMw,Cc1cccc2c1sc1ccccc12,4-methyldibenzothiophene,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,
jsiky,313,0.9269,0.0663,101,1.4819,Oliveira and Aznar (2010),Refractive index,Liquid,AAgnKZ,CCCCCCCCCCCC,dodecane,AAmGMw,Cc1cccc2c1sc1ccccc12,4-methyldibenzothiophene,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,
jsiky,313,0.9486,0.0446,101,1.4775,Oliveira and Aznar (2010),Refractive index,Liquid,AAgnKZ,CCCCCCCCCCCC,dodecane,AAmGMw,Cc1cccc2c1sc1ccccc12,4-methyldibenzothiophene,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,
jsiky,313,0.9731,0.0226,101,1.4728,Oliveira and Aznar (2010),Refractive index,Liquid,AAgnKZ,CCCCCCCCCCCC,dodecane,AAmGMw,Cc1cccc2c1sc1ccccc12,4-methyldibenzothiophene,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,
jsiky,313,0.9951,0,101,1.4685,Oliveira and Aznar (2010),Refractive index,Liquid,AAgnKZ,CCCCCCCCCCCC,dodecane,AAmGMw,Cc1cccc2c1sc1ccccc12,4-methyldibenzothiophene,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,
