setid,"Mole fraction of 2,4-pentanedione","Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
vWhEW,0.0517,101,298.15,1.4714,Choi et al. (2013),Refractive index,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
vWhEW,0.0958,101,298.15,1.4721,Choi et al. (2013),Refractive index,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
vWhEW,0.2082,101,298.15,1.4731,Choi et al. (2013),Refractive index,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
vWhEW,0.2986,101,298.15,1.4742,Choi et al. (2013),Refractive index,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
vWhEW,0.3991,101,298.15,1.4751,Choi et al. (2013),Refractive index,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
vWhEW,0.499,101,298.15,1.475,Choi et al. (2013),Refractive index,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
vWhEW,0.6013,101,298.15,1.4753,Choi et al. (2013),Refractive index,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
vWhEW,0.7004,101,298.15,1.474,Choi et al. (2013),Refractive index,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
vWhEW,0.7998,101,298.15,1.4716,Choi et al. (2013),Refractive index,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
vWhEW,0.9,101,298.15,1.4659,Choi et al. (2013),Refractive index,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
vWhEW,0.95,101,298.15,1.4602,Choi et al. (2013),Refractive index,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
