setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium ethyl sulfate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
VvUCH,298.15,0,100,1.41255,Srinivasa Reddy et al. (2016c),Refractive index,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
VvUCH,298.15,0.0496,100,1.41807,Srinivasa Reddy et al. (2016c),Refractive index,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
VvUCH,298.15,0.0901,100,1.42234,Srinivasa Reddy et al. (2016c),Refractive index,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
VvUCH,298.15,0.1345,100,1.42679,Srinivasa Reddy et al. (2016c),Refractive index,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
VvUCH,298.15,0.1738,100,1.43052,Srinivasa Reddy et al. (2016c),Refractive index,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
VvUCH,298.15,0.2568,100,1.43781,Srinivasa Reddy et al. (2016c),Refractive index,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
VvUCH,298.15,0.3477,100,1.44491,Srinivasa Reddy et al. (2016c),Refractive index,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
VvUCH,298.15,0.4406,100,1.45131,Srinivasa Reddy et al. (2016c),Refractive index,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
VvUCH,298.15,0.5477,100,1.45778,Srinivasa Reddy et al. (2016c),Refractive index,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
VvUCH,298.15,0.6478,100,1.46309,Srinivasa Reddy et al. (2016c),Refractive index,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
VvUCH,298.15,0.7729,100,1.46902,Srinivasa Reddy et al. (2016c),Refractive index,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
VvUCH,298.15,0.8263,100,1.4714,Srinivasa Reddy et al. (2016c),Refractive index,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
VvUCH,298.15,0.8757,100,1.47357,Srinivasa Reddy et al. (2016c),Refractive index,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
VvUCH,298.15,0.9346,100,1.47615,Srinivasa Reddy et al. (2016c),Refractive index,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
VvUCH,298.15,1,100,1.47907,Srinivasa Reddy et al. (2016c),Refractive index,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
VvUCH,308.15,0,100,1.40814,Srinivasa Reddy et al. (2016c),Refractive index,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
VvUCH,308.15,0.0496,100,1.41391,Srinivasa Reddy et al. (2016c),Refractive index,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
VvUCH,308.15,0.0901,100,1.41835,Srinivasa Reddy et al. (2016c),Refractive index,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
VvUCH,308.15,0.1345,100,1.42296,Srinivasa Reddy et al. (2016c),Refractive index,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
VvUCH,308.15,0.1738,100,1.42682,Srinivasa Reddy et al. (2016c),Refractive index,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
VvUCH,308.15,0.2568,100,1.43433,Srinivasa Reddy et al. (2016c),Refractive index,Liquid,AAUBtI,CCCOCCO,2-propoxyethanol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
