setid,"Temperature, K",Weight fraction of water,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
hLfWk,298.15,0,101,1.4902,Ma et al. (2013b),Refractive index,Liquid,AADYJk,O,water,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,,,,
hLfWk,303.15,0,101,1.489,Ma et al. (2013b),Refractive index,Liquid,AADYJk,O,water,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,,,,
hLfWk,303.15,0.00607,101,1.4879,Ma et al. (2013b),Refractive index,Liquid,AADYJk,O,water,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,,,,
hLfWk,303.15,0.00766,101,1.4876,Ma et al. (2013b),Refractive index,Liquid,AADYJk,O,water,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,,,,
hLfWk,303.15,0.00928,101,1.4874,Ma et al. (2013b),Refractive index,Liquid,AADYJk,O,water,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,,,,
hLfWk,303.15,0.01093,101,1.487,Ma et al. (2013b),Refractive index,Liquid,AADYJk,O,water,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,,,,
hLfWk,303.15,0.01265,101,1.4867,Ma et al. (2013b),Refractive index,Liquid,AADYJk,O,water,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,,,,
hLfWk,308.15,0,101,1.488,Ma et al. (2013b),Refractive index,Liquid,AADYJk,O,water,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,,,,
hLfWk,308.15,0.00607,101,1.4869,Ma et al. (2013b),Refractive index,Liquid,AADYJk,O,water,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,,,,
hLfWk,308.15,0.00766,101,1.4867,Ma et al. (2013b),Refractive index,Liquid,AADYJk,O,water,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,,,,
hLfWk,308.15,0.00928,101,1.4864,Ma et al. (2013b),Refractive index,Liquid,AADYJk,O,water,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,,,,
hLfWk,308.15,0.01093,101,1.4861,Ma et al. (2013b),Refractive index,Liquid,AADYJk,O,water,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,,,,
hLfWk,308.15,0.01265,101,1.4858,Ma et al. (2013b),Refractive index,Liquid,AADYJk,O,water,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,,,,
hLfWk,313.15,0,101,1.4868,Ma et al. (2013b),Refractive index,Liquid,AADYJk,O,water,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,,,,
