setid,"Temperature, K",Mole fraction of tetrabutylammonium chloride,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
Uysfs,293.15,0.5,101,1.48,Mjalli et al. (2014b),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Uysfs,293.15,0.667,101,1.4851,Mjalli et al. (2014b),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Uysfs,293.15,0.75,101,1.4858,Mjalli et al. (2014b),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Uysfs,293.15,0.8,101,1.4871,Mjalli et al. (2014b),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Uysfs,303.15,0.5,101,1.4772,Mjalli et al. (2014b),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Uysfs,303.15,0.667,101,1.4821,Mjalli et al. (2014b),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Uysfs,303.15,0.75,101,1.4836,Mjalli et al. (2014b),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Uysfs,303.15,0.8,101,1.4841,Mjalli et al. (2014b),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Uysfs,313.15,0.5,101,1.4742,Mjalli et al. (2014b),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Uysfs,313.15,0.667,101,1.479,Mjalli et al. (2014b),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Uysfs,313.15,0.75,101,1.4806,Mjalli et al. (2014b),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Uysfs,313.15,0.8,101,1.4811,Mjalli et al. (2014b),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Uysfs,323.15,0.5,101,1.4711,Mjalli et al. (2014b),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Uysfs,323.15,0.667,101,1.476,Mjalli et al. (2014b),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Uysfs,323.15,0.75,101,1.4777,Mjalli et al. (2014b),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Uysfs,323.15,0.8,101,1.4781,Mjalli et al. (2014b),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Uysfs,333.15,0.5,101,1.4678,Mjalli et al. (2014b),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Uysfs,333.15,0.667,101,1.4731,Mjalli et al. (2014b),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Uysfs,333.15,0.75,101,1.4747,Mjalli et al. (2014b),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Uysfs,333.15,0.8,101,1.4752,Mjalli et al. (2014b),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Uysfs,343.15,0.5,101,1.4646,Mjalli et al. (2014b),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Uysfs,343.15,0.667,101,1.4701,Mjalli et al. (2014b),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Uysfs,343.15,0.75,101,1.4717,Mjalli et al. (2014b),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Uysfs,343.15,0.8,101,1.4722,Mjalli et al. (2014b),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Uysfs,353.15,0.5,101,1.4614,Mjalli et al. (2014b),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Uysfs,353.15,0.667,101,1.4673,Mjalli et al. (2014b),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Uysfs,353.15,0.75,101,1.4686,Mjalli et al. (2014b),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Uysfs,353.15,0.8,101,1.4692,Mjalli et al. (2014b),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
