setid,Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
HGkgt,0.0988,101,298.15,1.3634,Iglesias-Otero et al. (2007),Refractive index,Liquid,AAGIBL,CO,methanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HGkgt,0.1505,101,298.15,1.3735,Iglesias-Otero et al. (2007),Refractive index,Liquid,AAGIBL,CO,methanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HGkgt,0.2541,101,298.15,1.3894,Iglesias-Otero et al. (2007),Refractive index,Liquid,AAGIBL,CO,methanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HGkgt,0.3169,101,298.15,1.3957,Iglesias-Otero et al. (2007),Refractive index,Liquid,AAGIBL,CO,methanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HGkgt,0.3493,101,298.15,1.3981,Iglesias-Otero et al. (2007),Refractive index,Liquid,AAGIBL,CO,methanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HGkgt,0.4517,101,298.15,1.405,Iglesias-Otero et al. (2007),Refractive index,Liquid,AAGIBL,CO,methanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HGkgt,0.574,101,298.15,1.4104,Iglesias-Otero et al. (2007),Refractive index,Liquid,AAGIBL,CO,methanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HGkgt,0.6729,101,298.15,1.414,Iglesias-Otero et al. (2007),Refractive index,Liquid,AAGIBL,CO,methanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HGkgt,0.7342,101,298.15,1.4161,Iglesias-Otero et al. (2007),Refractive index,Liquid,AAGIBL,CO,methanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HGkgt,0.7847,101,298.15,1.4173,Iglesias-Otero et al. (2007),Refractive index,Liquid,AAGIBL,CO,methanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HGkgt,0.8423,101,298.15,1.4188,Iglesias-Otero et al. (2007),Refractive index,Liquid,AAGIBL,CO,methanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HGkgt,0.9038,101,298.15,1.4201,Iglesias-Otero et al. (2007),Refractive index,Liquid,AAGIBL,CO,methanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
