setid,Mole fraction of 1-butyl-3-methylimidazolium methyl sulfate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
lTYqK,0.0429,298.15,101,1.4499,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAVlJf,ClCCCCl,"1,3-dichloropropane",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
lTYqK,0.0674,298.15,101,1.4518,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAVlJf,ClCCCCl,"1,3-dichloropropane",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
lTYqK,0.104,298.15,101,1.4543,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAVlJf,ClCCCCl,"1,3-dichloropropane",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
lTYqK,0.1376,298.15,101,1.4564,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAVlJf,ClCCCCl,"1,3-dichloropropane",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
lTYqK,0.1894,298.15,101,1.4596,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAVlJf,ClCCCCl,"1,3-dichloropropane",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
lTYqK,0.2496,298.15,101,1.4624,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAVlJf,ClCCCCl,"1,3-dichloropropane",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
lTYqK,0.3166,298.15,101,1.4654,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAVlJf,ClCCCCl,"1,3-dichloropropane",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
lTYqK,0.3917,298.15,101,1.4677,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAVlJf,ClCCCCl,"1,3-dichloropropane",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
lTYqK,0.4881,298.15,101,1.4706,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAVlJf,ClCCCCl,"1,3-dichloropropane",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
lTYqK,0.5686,298.15,101,1.4725,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAVlJf,ClCCCCl,"1,3-dichloropropane",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
lTYqK,0.6797,298.15,101,1.4747,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAVlJf,ClCCCCl,"1,3-dichloropropane",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
lTYqK,0.7887,298.15,101,1.4765,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAVlJf,ClCCCCl,"1,3-dichloropropane",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
lTYqK,0.8987,298.15,101,1.4784,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAVlJf,ClCCCCl,"1,3-dichloropropane",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
