setid,Weight fraction of water,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
owOOT,0,288.15,100,1.5097,Zhang et al. (2020a),Refractive index,Liquid,AAxtnL,COCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(2-methoxyethyl)-3-methylimidazolium threonine,AADYJk,O,water,,,,
owOOT,0,293.15,100,1.5086,Zhang et al. (2020a),Refractive index,Liquid,AAxtnL,COCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(2-methoxyethyl)-3-methylimidazolium threonine,AADYJk,O,water,,,,
owOOT,0,298.15,100,1.5072,Zhang et al. (2020a),Refractive index,Liquid,AAxtnL,COCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(2-methoxyethyl)-3-methylimidazolium threonine,AADYJk,O,water,,,,
owOOT,0,303.15,100,1.5057,Zhang et al. (2020a),Refractive index,Liquid,AAxtnL,COCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(2-methoxyethyl)-3-methylimidazolium threonine,AADYJk,O,water,,,,
owOOT,0,308.15,100,1.5041,Zhang et al. (2020a),Refractive index,Liquid,AAxtnL,COCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(2-methoxyethyl)-3-methylimidazolium threonine,AADYJk,O,water,,,,
owOOT,0,313.15,100,1.5024,Zhang et al. (2020a),Refractive index,Liquid,AAxtnL,COCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(2-methoxyethyl)-3-methylimidazolium threonine,AADYJk,O,water,,,,
owOOT,0,318.15,100,1.5007,Zhang et al. (2020a),Refractive index,Liquid,AAxtnL,COCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(2-methoxyethyl)-3-methylimidazolium threonine,AADYJk,O,water,,,,
owOOT,0,323.15,100,1.499,Zhang et al. (2020a),Refractive index,Liquid,AAxtnL,COCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(2-methoxyethyl)-3-methylimidazolium threonine,AADYJk,O,water,,,,
owOOT,0,328.15,100,1.497,Zhang et al. (2020a),Refractive index,Liquid,AAxtnL,COCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(2-methoxyethyl)-3-methylimidazolium threonine,AADYJk,O,water,,,,
owOOT,0.035,288.15,100,1.5084,Zhang et al. (2020a),Refractive index,Liquid,AAxtnL,COCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(2-methoxyethyl)-3-methylimidazolium threonine,AADYJk,O,water,,,,
owOOT,0.035,293.15,100,1.5072,Zhang et al. (2020a),Refractive index,Liquid,AAxtnL,COCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(2-methoxyethyl)-3-methylimidazolium threonine,AADYJk,O,water,,,,
owOOT,0.035,298.15,100,1.5058,Zhang et al. (2020a),Refractive index,Liquid,AAxtnL,COCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(2-methoxyethyl)-3-methylimidazolium threonine,AADYJk,O,water,,,,
owOOT,0.035,303.15,100,1.5043,Zhang et al. (2020a),Refractive index,Liquid,AAxtnL,COCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(2-methoxyethyl)-3-methylimidazolium threonine,AADYJk,O,water,,,,
owOOT,0.035,308.15,100,1.5028,Zhang et al. (2020a),Refractive index,Liquid,AAxtnL,COCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(2-methoxyethyl)-3-methylimidazolium threonine,AADYJk,O,water,,,,
owOOT,0.035,313.15,100,1.5011,Zhang et al. (2020a),Refractive index,Liquid,AAxtnL,COCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(2-methoxyethyl)-3-methylimidazolium threonine,AADYJk,O,water,,,,
owOOT,0.035,318.15,100,1.4994,Zhang et al. (2020a),Refractive index,Liquid,AAxtnL,COCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(2-methoxyethyl)-3-methylimidazolium threonine,AADYJk,O,water,,,,
owOOT,0.035,323.15,100,1.4978,Zhang et al. (2020a),Refractive index,Liquid,AAxtnL,COCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(2-methoxyethyl)-3-methylimidazolium threonine,AADYJk,O,water,,,,
owOOT,0.035,328.15,100,1.496,Zhang et al. (2020a),Refractive index,Liquid,AAxtnL,COCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(2-methoxyethyl)-3-methylimidazolium threonine,AADYJk,O,water,,,,
owOOT,0.057,288.15,100,1.5076,Zhang et al. (2020a),Refractive index,Liquid,AAxtnL,COCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(2-methoxyethyl)-3-methylimidazolium threonine,AADYJk,O,water,,,,
owOOT,0.057,293.15,100,1.5062,Zhang et al. (2020a),Refractive index,Liquid,AAxtnL,COCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(2-methoxyethyl)-3-methylimidazolium threonine,AADYJk,O,water,,,,
owOOT,0.057,298.15,100,1.5049,Zhang et al. (2020a),Refractive index,Liquid,AAxtnL,COCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(2-methoxyethyl)-3-methylimidazolium threonine,AADYJk,O,water,,,,
owOOT,0.057,303.15,100,1.5035,Zhang et al. (2020a),Refractive index,Liquid,AAxtnL,COCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(2-methoxyethyl)-3-methylimidazolium threonine,AADYJk,O,water,,,,
owOOT,0.057,308.15,100,1.502,Zhang et al. (2020a),Refractive index,Liquid,AAxtnL,COCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(2-methoxyethyl)-3-methylimidazolium threonine,AADYJk,O,water,,,,
owOOT,0.057,313.15,100,1.5003,Zhang et al. (2020a),Refractive index,Liquid,AAxtnL,COCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(2-methoxyethyl)-3-methylimidazolium threonine,AADYJk,O,water,,,,
owOOT,0.057,318.15,100,1.4987,Zhang et al. (2020a),Refractive index,Liquid,AAxtnL,COCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(2-methoxyethyl)-3-methylimidazolium threonine,AADYJk,O,water,,,,
owOOT,0.057,323.15,100,1.497,Zhang et al. (2020a),Refractive index,Liquid,AAxtnL,COCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(2-methoxyethyl)-3-methylimidazolium threonine,AADYJk,O,water,,,,
owOOT,0.057,328.15,100,1.4953,Zhang et al. (2020a),Refractive index,Liquid,AAxtnL,COCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(2-methoxyethyl)-3-methylimidazolium threonine,AADYJk,O,water,,,,
