setid,Weight fraction of 1-methyl-3-octylimidazolium bromide,Weight fraction of cesium nitrate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
UaONB,0,0.214,101,298.15,1.3479,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,
UaONB,0.0693,0.1698,101,298.15,1.35932,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,
UaONB,0.1454,0.1286,101,298.15,1.37062,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,
UaONB,0.2236,0.1068,101,298.15,1.38238,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,
UaONB,0.3041,0.0888,101,298.15,1.39436,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,
UaONB,0.3928,0.0585,101,298.15,1.40647,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,
UaONB,0.4811,0.0389,101,298.15,1.41932,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,
UaONB,0.5691,0.0256,101,298.15,1.43272,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,
UaONB,0.6521,0.0231,101,298.15,1.44699,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,
UaONB,0.7369,0.0187,101,298.15,1.46236,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,
UaONB,0.8242,0.0121,101,298.15,1.47831,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,
