setid,"Temperature, K","Pressure, kPa",Mole fraction of benzyltributylammonium chloride,Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
cKRqa,283.15,100,0.25,1.5095,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,,
cKRqa,288.15,100,0.25,1.5079,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,,
cKRqa,293.15,100,0.25,1.5065,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,,
cKRqa,298.15,100,0.25,1.5051,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,,
cKRqa,303.15,100,0.25,1.5036,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,,
cKRqa,308.15,100,0.25,1.5021,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,,
cKRqa,313.15,100,0.25,1.5006,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,,
cKRqa,318.15,100,0.25,1.4992,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,,
cKRqa,323.15,100,0.25,1.4977,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,,
cKRqa,328.15,100,0.25,1.4962,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,,
cKRqa,333.15,100,0.25,1.4948,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,,
cKRqa,338.15,100,0.25,1.4933,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,,
cKRqa,343.15,100,0.25,1.4917,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,,
