setid,"Temperature, K",Mole fraction of 1-propylpyridinium tetrafluoroborate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
JPOch,293.15,0,101,1.32843,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,293.15,0.0279,101,1.34377,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,293.15,0.0576,101,1.35657,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,293.15,0.0965,101,1.36988,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,293.15,0.1457,101,1.38283,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,293.15,0.1949,101,1.39301,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,293.15,0.2548,101,1.4028,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,293.15,0.3209,101,1.41121,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,293.15,0.3998,101,1.4189,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,293.15,0.496,101,1.42595,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,293.15,0.5983,101,1.43176,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,293.15,0.6901,101,1.43601,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
