setid,"Temperature, K",Mole fraction of 1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
qBRyR,293.15,0,101,1.52699,Gouveia et al. (2016a),Refractive index,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AApUki,CCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],3-ethyl-1-methyl-1H-imidazolium L-serinate,,,,
qBRyR,293.15,0.2502,101,1.52075,Gouveia et al. (2016a),Refractive index,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AApUki,CCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],3-ethyl-1-methyl-1H-imidazolium L-serinate,,,,
qBRyR,293.15,0.5005,101,1.51865,Gouveia et al. (2016a),Refractive index,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AApUki,CCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],3-ethyl-1-methyl-1H-imidazolium L-serinate,,,,
qBRyR,293.15,0.7497,101,1.51552,Gouveia et al. (2016a),Refractive index,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AApUki,CCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],3-ethyl-1-methyl-1H-imidazolium L-serinate,,,,
qBRyR,293.15,1,101,1.51454,Gouveia et al. (2016a),Refractive index,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AApUki,CCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],3-ethyl-1-methyl-1H-imidazolium L-serinate,,,,
qBRyR,298.15,0,101,1.52565,Gouveia et al. (2016a),Refractive index,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AApUki,CCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],3-ethyl-1-methyl-1H-imidazolium L-serinate,,,,
qBRyR,298.15,0.2502,101,1.51929,Gouveia et al. (2016a),Refractive index,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AApUki,CCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],3-ethyl-1-methyl-1H-imidazolium L-serinate,,,,
qBRyR,298.15,0.5005,101,1.51718,Gouveia et al. (2016a),Refractive index,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AApUki,CCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],3-ethyl-1-methyl-1H-imidazolium L-serinate,,,,
qBRyR,298.15,0.7497,101,1.5139,Gouveia et al. (2016a),Refractive index,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AApUki,CCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],3-ethyl-1-methyl-1H-imidazolium L-serinate,,,,
qBRyR,298.15,1,101,1.51286,Gouveia et al. (2016a),Refractive index,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AApUki,CCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],3-ethyl-1-methyl-1H-imidazolium L-serinate,,,,
qBRyR,303.15,0,101,1.52429,Gouveia et al. (2016a),Refractive index,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AApUki,CCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],3-ethyl-1-methyl-1H-imidazolium L-serinate,,,,
qBRyR,303.15,0.2502,101,1.51784,Gouveia et al. (2016a),Refractive index,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AApUki,CCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],3-ethyl-1-methyl-1H-imidazolium L-serinate,,,,
qBRyR,303.15,0.5005,101,1.51563,Gouveia et al. (2016a),Refractive index,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AApUki,CCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],3-ethyl-1-methyl-1H-imidazolium L-serinate,,,,
