setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium methyl sulfate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
QszcR,298.15,0,101.3,1.39747,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,298.15,0.0425,101.3,1.40525,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,298.15,0.0922,101.3,1.41307,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,298.15,0.1929,101.3,1.42652,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,298.15,0.2926,101.3,1.43736,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,298.15,0.3915,101.3,1.44629,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,298.15,0.4981,101.3,1.45433,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,298.15,0.5997,101.3,1.4608,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,298.15,0.7996,101.3,1.47095,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,298.15,1,101.3,1.47824,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,303.15,0,101.3,1.39549,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,303.15,0.0425,101.3,1.40335,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,303.15,0.0922,101.3,1.41133,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,303.15,0.1929,101.3,1.42489,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,303.15,0.2926,101.3,1.43578,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,303.15,0.3915,101.3,1.44477,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,303.15,0.4981,101.3,1.45286,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,303.15,0.5997,101.3,1.45937,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,303.15,0.7996,101.3,1.46959,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,303.15,1,101.3,1.47704,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,308.15,0,101.3,1.39342,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,308.15,0.0425,101.3,1.40141,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,308.15,0.0922,101.3,1.40946,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,308.15,0.1929,101.3,1.42315,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,308.15,0.2926,101.3,1.43415,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,308.15,0.3915,101.3,1.44321,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,308.15,0.4981,101.3,1.45136,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,308.15,0.5997,101.3,1.45792,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,308.15,0.7996,101.3,1.46821,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,308.15,1,101.3,1.47577,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,313.15,0,101.3,1.39138,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,313.15,0.0425,101.3,1.39946,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,313.15,0.0922,101.3,1.40762,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,313.15,0.1929,101.3,1.42144,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
QszcR,313.15,0.2926,101.3,1.43253,Singh et al. (2013),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
