setid,Weight fraction of 1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
KEEWZ,0,298.15,100,1.3325,Alopina et al. (2018),Refractive index,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,,
KEEWZ,0.056,298.15,100,1.3428,Alopina et al. (2018),Refractive index,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,,
KEEWZ,0.079,298.15,100,1.347,Alopina et al. (2018),Refractive index,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,,
KEEWZ,0.088,298.15,100,1.3483,Alopina et al. (2018),Refractive index,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,,
KEEWZ,0.118,298.15,100,1.3534,Alopina et al. (2018),Refractive index,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,,
KEEWZ,0.139,298.15,100,1.3573,Alopina et al. (2018),Refractive index,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,,
KEEWZ,0.203,298.15,100,1.3672,Alopina et al. (2018),Refractive index,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,,
KEEWZ,0.343,298.15,100,1.3908,Alopina et al. (2018),Refractive index,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,,
KEEWZ,0.419,298.15,100,1.4048,Alopina et al. (2018),Refractive index,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,,
KEEWZ,0.591,298.15,100,1.4349,Alopina et al. (2018),Refractive index,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,,
KEEWZ,0.781,298.15,100,1.4674,Alopina et al. (2018),Refractive index,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,,
KEEWZ,0.958,298.15,100,1.4991,Alopina et al. (2018),Refractive index,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,,
