setid,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
RgQnw,100,308.15,1.49778,Lee et al. (2016),Refractive index,Liquid,ABLIGf,C[N+](C)(C)CCO.O=S(=O)([O-])CC(O)CN1CCOCC1,"2-hydroxy-N,N,N-trimethylethanaminium 2-hydroxy-3-morpholinopropanesulfonate",,,,,,,
RgQnw,100,313.15,1.49658,Lee et al. (2016),Refractive index,Liquid,ABLIGf,C[N+](C)(C)CCO.O=S(=O)([O-])CC(O)CN1CCOCC1,"2-hydroxy-N,N,N-trimethylethanaminium 2-hydroxy-3-morpholinopropanesulfonate",,,,,,,
RgQnw,100,318.15,1.49531,Lee et al. (2016),Refractive index,Liquid,ABLIGf,C[N+](C)(C)CCO.O=S(=O)([O-])CC(O)CN1CCOCC1,"2-hydroxy-N,N,N-trimethylethanaminium 2-hydroxy-3-morpholinopropanesulfonate",,,,,,,
RgQnw,100,323.15,1.49453,Lee et al. (2016),Refractive index,Liquid,ABLIGf,C[N+](C)(C)CCO.O=S(=O)([O-])CC(O)CN1CCOCC1,"2-hydroxy-N,N,N-trimethylethanaminium 2-hydroxy-3-morpholinopropanesulfonate",,,,,,,
RgQnw,100,328.15,1.49323,Lee et al. (2016),Refractive index,Liquid,ABLIGf,C[N+](C)(C)CCO.O=S(=O)([O-])CC(O)CN1CCOCC1,"2-hydroxy-N,N,N-trimethylethanaminium 2-hydroxy-3-morpholinopropanesulfonate",,,,,,,
RgQnw,100,333.15,1.49185,Lee et al. (2016),Refractive index,Liquid,ABLIGf,C[N+](C)(C)CCO.O=S(=O)([O-])CC(O)CN1CCOCC1,"2-hydroxy-N,N,N-trimethylethanaminium 2-hydroxy-3-morpholinopropanesulfonate",,,,,,,
RgQnw,100,338.15,1.48995,Lee et al. (2016),Refractive index,Liquid,ABLIGf,C[N+](C)(C)CCO.O=S(=O)([O-])CC(O)CN1CCOCC1,"2-hydroxy-N,N,N-trimethylethanaminium 2-hydroxy-3-morpholinopropanesulfonate",,,,,,,
RgQnw,100,343.15,1.48831,Lee et al. (2016),Refractive index,Liquid,ABLIGf,C[N+](C)(C)CCO.O=S(=O)([O-])CC(O)CN1CCOCC1,"2-hydroxy-N,N,N-trimethylethanaminium 2-hydroxy-3-morpholinopropanesulfonate",,,,,,,
RgQnw,100,348.15,1.48671,Lee et al. (2016),Refractive index,Liquid,ABLIGf,C[N+](C)(C)CCO.O=S(=O)([O-])CC(O)CN1CCOCC1,"2-hydroxy-N,N,N-trimethylethanaminium 2-hydroxy-3-morpholinopropanesulfonate",,,,,,,
RgQnw,100,353.15,1.4852,Lee et al. (2016),Refractive index,Liquid,ABLIGf,C[N+](C)(C)CCO.O=S(=O)([O-])CC(O)CN1CCOCC1,"2-hydroxy-N,N,N-trimethylethanaminium 2-hydroxy-3-morpholinopropanesulfonate",,,,,,,
