setid,Mole fraction of diisopropyl ether,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
nSOaq,0,101,298.15,1.47126,Lee and Park (2012),Refractive index,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
nSOaq,0.0457,101,298.15,1.4697,Lee and Park (2012),Refractive index,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
nSOaq,0.108,101,298.15,1.4689,Lee and Park (2012),Refractive index,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
nSOaq,0.1956,101,298.15,1.4666,Lee and Park (2012),Refractive index,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
nSOaq,0.2971,101,298.15,1.4641,Lee and Park (2012),Refractive index,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
nSOaq,0.4005,101,298.15,1.4613,Lee and Park (2012),Refractive index,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
nSOaq,0.5002,101,298.15,1.4599,Lee and Park (2012),Refractive index,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
nSOaq,0.5996,101,298.15,1.4576,Lee and Park (2012),Refractive index,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
nSOaq,0.7003,101,298.15,1.4492,Lee and Park (2012),Refractive index,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
nSOaq,0.8001,101,298.15,1.4392,Lee and Park (2012),Refractive index,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
nSOaq,0.8998,101,298.15,1.4211,Lee and Park (2012),Refractive index,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
nSOaq,0.9499,101,298.15,1.4012,Lee and Park (2012),Refractive index,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
nSOaq,1,101,298.15,1.36527,Lee and Park (2012),Refractive index,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
