setid,"Temperature, K",Mole fraction of methanol,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
glAmA,298.15,0,101,1.42064,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AAGIBL,CO,methanol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
glAmA,298.15,0.0462,101,1.42002,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AAGIBL,CO,methanol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
glAmA,298.15,0.0901,101,1.41937,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AAGIBL,CO,methanol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
glAmA,298.15,0.1769,101,1.41794,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AAGIBL,CO,methanol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
glAmA,298.15,0.2722,101,1.41609,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AAGIBL,CO,methanol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
glAmA,298.15,0.3855,101,1.41327,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AAGIBL,CO,methanol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
glAmA,298.15,0.568,101,1.40659,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AAGIBL,CO,methanol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
glAmA,298.15,0.685,101,1.39953,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AAGIBL,CO,methanol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
glAmA,298.15,0.798,101,1.38838,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AAGIBL,CO,methanol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
glAmA,298.15,0.8984,101,1.37031,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AAGIBL,CO,methanol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
