setid,"Temperature, K",Mole fraction of 2-hydroxyethylammonium lactate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
XaQmJ,293.15,0,101,1.32941,Kurnia et al. (2011b),Refractive index,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,,
XaQmJ,293.15,0.0557,101,1.34978,Kurnia et al. (2011b),Refractive index,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,,
XaQmJ,293.15,0.1024,101,1.36345,Kurnia et al. (2011b),Refractive index,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,,
XaQmJ,293.15,0.2136,101,1.38844,Kurnia et al. (2011b),Refractive index,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,,
XaQmJ,293.15,0.3015,101,1.40426,Kurnia et al. (2011b),Refractive index,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,,
XaQmJ,293.15,0.4024,101,1.42044,Kurnia et al. (2011b),Refractive index,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,,
XaQmJ,293.15,0.5151,101,1.43633,Kurnia et al. (2011b),Refractive index,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,,
XaQmJ,293.15,0.6009,101,1.44624,Kurnia et al. (2011b),Refractive index,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,,
XaQmJ,293.15,0.6945,101,1.45412,Kurnia et al. (2011b),Refractive index,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,,
XaQmJ,293.15,0.8031,101,1.4595,Kurnia et al. (2011b),Refractive index,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,,
XaQmJ,293.15,0.9056,101,1.46291,Kurnia et al. (2011b),Refractive index,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,,
XaQmJ,293.15,0.9607,101,1.46578,Kurnia et al. (2011b),Refractive index,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,,
XaQmJ,293.15,1,101,1.46854,Kurnia et al. (2011b),Refractive index,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,,
XaQmJ,298.15,0,101,1.32667,Kurnia et al. (2011b),Refractive index,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,,
XaQmJ,298.15,0.0557,101,1.34725,Kurnia et al. (2011b),Refractive index,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,,
XaQmJ,298.15,0.1024,101,1.36105,Kurnia et al. (2011b),Refractive index,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,,
XaQmJ,298.15,0.2136,101,1.38626,Kurnia et al. (2011b),Refractive index,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,,
XaQmJ,298.15,0.3015,101,1.4022,Kurnia et al. (2011b),Refractive index,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,,
XaQmJ,298.15,0.4024,101,1.41853,Kurnia et al. (2011b),Refractive index,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,,
XaQmJ,298.15,0.5151,101,1.4346,Kurnia et al. (2011b),Refractive index,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,,
XaQmJ,298.15,0.6009,101,1.44464,Kurnia et al. (2011b),Refractive index,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,,
XaQmJ,298.15,0.6945,101,1.45266,Kurnia et al. (2011b),Refractive index,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,,
XaQmJ,298.15,0.8031,101,1.45813,Kurnia et al. (2011b),Refractive index,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,,
XaQmJ,298.15,0.9056,101,1.4615,Kurnia et al. (2011b),Refractive index,Liquid,AAGIBL,CO,methanol,AAdDEB,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,,,,
