setid,"Temperature, K",Mole fraction of sodium thiocyanate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
tJqkR,298.15,0,101,1.49997,Oliveira et al. (2015),Refractive index,Liquid,AAPeZL,N#C[S-].[Na+],sodium thiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
tJqkR,298.15,0.0502,101,1.50133,Oliveira et al. (2015),Refractive index,Liquid,AAPeZL,N#C[S-].[Na+],sodium thiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
tJqkR,303.15,0,101,1.49867,Oliveira et al. (2015),Refractive index,Liquid,AAPeZL,N#C[S-].[Na+],sodium thiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
tJqkR,303.15,0.0502,101,1.5,Oliveira et al. (2015),Refractive index,Liquid,AAPeZL,N#C[S-].[Na+],sodium thiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
tJqkR,308.15,0,101,1.49732,Oliveira et al. (2015),Refractive index,Liquid,AAPeZL,N#C[S-].[Na+],sodium thiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
tJqkR,308.15,0.0502,101,1.49867,Oliveira et al. (2015),Refractive index,Liquid,AAPeZL,N#C[S-].[Na+],sodium thiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
tJqkR,313.15,0,101,1.49597,Oliveira et al. (2015),Refractive index,Liquid,AAPeZL,N#C[S-].[Na+],sodium thiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
tJqkR,313.15,0.0502,101,1.49732,Oliveira et al. (2015),Refractive index,Liquid,AAPeZL,N#C[S-].[Na+],sodium thiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
tJqkR,318.15,0,101,1.49465,Oliveira et al. (2015),Refractive index,Liquid,AAPeZL,N#C[S-].[Na+],sodium thiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
tJqkR,318.15,0.0502,101,1.49597,Oliveira et al. (2015),Refractive index,Liquid,AAPeZL,N#C[S-].[Na+],sodium thiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
tJqkR,323.15,0,101,1.49331,Oliveira et al. (2015),Refractive index,Liquid,AAPeZL,N#C[S-].[Na+],sodium thiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
tJqkR,323.15,0.0502,101,1.49465,Oliveira et al. (2015),Refractive index,Liquid,AAPeZL,N#C[S-].[Na+],sodium thiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
