setid,"Temperature, K",Mole fraction of ammonium acetate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
iMNnC,298.15,0,101,1.49997,Oliveira et al. (2015),Refractive index,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
iMNnC,298.15,0.0503,101,1.49884,Oliveira et al. (2015),Refractive index,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
iMNnC,298.15,0.0999,101,1.49771,Oliveira et al. (2015),Refractive index,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
iMNnC,298.15,0.1703,101,1.49585,Oliveira et al. (2015),Refractive index,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
iMNnC,298.15,0.2498,101,1.49365,Oliveira et al. (2015),Refractive index,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
iMNnC,298.15,0.328,101,1.49099,Oliveira et al. (2015),Refractive index,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
iMNnC,298.15,0.4491,101,1.48604,Oliveira et al. (2015),Refractive index,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
iMNnC,303.15,0,101,1.49867,Oliveira et al. (2015),Refractive index,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
iMNnC,303.15,0.0503,101,1.4975,Oliveira et al. (2015),Refractive index,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
iMNnC,303.15,0.0999,101,1.49641,Oliveira et al. (2015),Refractive index,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
