setid,"Temperature, K",Mole fraction of 3-butyl-1-methyl-1H-imidazolium L-alaninate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
ZhZGW,298.15,0.0986,101,1.3952,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,298.15,0.2015,101,1.438,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,298.15,0.2837,101,1.4595,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,298.15,0.3985,101,1.4787,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,298.15,0.5105,101,1.4914,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,298.15,0.6035,101,1.4994,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,298.15,0.7011,101,1.5058,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,298.15,0.8152,101,1.5111,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,298.15,0.9139,101,1.5147,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,303.15,0.0986,101,1.3926,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,303.15,0.2015,101,1.435,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,303.15,0.2837,101,1.4564,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,303.15,0.3985,101,1.4755,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,303.15,0.5105,101,1.4883,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,303.15,0.6035,101,1.4964,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,303.15,0.7011,101,1.5029,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,303.15,0.8152,101,1.5087,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,303.15,0.9139,101,1.5126,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,308.15,0.0986,101,1.3901,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,308.15,0.2015,101,1.4323,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
