setid,"Weight fraction of N,N,N-triethyl-N-hexylammonium tetrafluoroborate","Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
wMITJ,0,101,293.15,1.3292,Li et al. (2013h),Refractive index,Liquid,AAcsqS,O=S(=O)(O)C(F)(F)F,trifluoromethylsulfonic acid,ABAbgR,CCCCCC[N+](CC)(CC)CC.F[B-](F)(F)F,"N,N,N-triethyl-N-hexylammonium tetrafluoroborate",,,,
wMITJ,0.1,101,293.15,1.3475,Li et al. (2013h),Refractive index,Liquid,AAcsqS,O=S(=O)(O)C(F)(F)F,trifluoromethylsulfonic acid,ABAbgR,CCCCCC[N+](CC)(CC)CC.F[B-](F)(F)F,"N,N,N-triethyl-N-hexylammonium tetrafluoroborate",,,,
wMITJ,0.2,101,293.15,1.3572,Li et al. (2013h),Refractive index,Liquid,AAcsqS,O=S(=O)(O)C(F)(F)F,trifluoromethylsulfonic acid,ABAbgR,CCCCCC[N+](CC)(CC)CC.F[B-](F)(F)F,"N,N,N-triethyl-N-hexylammonium tetrafluoroborate",,,,
wMITJ,0.3,101,293.15,1.3654,Li et al. (2013h),Refractive index,Liquid,AAcsqS,O=S(=O)(O)C(F)(F)F,trifluoromethylsulfonic acid,ABAbgR,CCCCCC[N+](CC)(CC)CC.F[B-](F)(F)F,"N,N,N-triethyl-N-hexylammonium tetrafluoroborate",,,,
wMITJ,0.4,101,293.15,1.3728,Li et al. (2013h),Refractive index,Liquid,AAcsqS,O=S(=O)(O)C(F)(F)F,trifluoromethylsulfonic acid,ABAbgR,CCCCCC[N+](CC)(CC)CC.F[B-](F)(F)F,"N,N,N-triethyl-N-hexylammonium tetrafluoroborate",,,,
wMITJ,0.5,101,293.15,1.3782,Li et al. (2013h),Refractive index,Liquid,AAcsqS,O=S(=O)(O)C(F)(F)F,trifluoromethylsulfonic acid,ABAbgR,CCCCCC[N+](CC)(CC)CC.F[B-](F)(F)F,"N,N,N-triethyl-N-hexylammonium tetrafluoroborate",,,,
