setid,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
XtLjH,100,308.15,1.48329,Lee et al. (2016),Refractive index,Liquid,ABoDJr,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CNC1CCCCC1,tetrabutylammonium 3-(cyclohexylamino)-2-hydroxypropanesulfonate,,,,,,,
XtLjH,100,313.15,1.48189,Lee et al. (2016),Refractive index,Liquid,ABoDJr,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CNC1CCCCC1,tetrabutylammonium 3-(cyclohexylamino)-2-hydroxypropanesulfonate,,,,,,,
XtLjH,100,318.15,1.48037,Lee et al. (2016),Refractive index,Liquid,ABoDJr,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CNC1CCCCC1,tetrabutylammonium 3-(cyclohexylamino)-2-hydroxypropanesulfonate,,,,,,,
XtLjH,100,323.15,1.47937,Lee et al. (2016),Refractive index,Liquid,ABoDJr,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CNC1CCCCC1,tetrabutylammonium 3-(cyclohexylamino)-2-hydroxypropanesulfonate,,,,,,,
XtLjH,100,328.15,1.47772,Lee et al. (2016),Refractive index,Liquid,ABoDJr,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CNC1CCCCC1,tetrabutylammonium 3-(cyclohexylamino)-2-hydroxypropanesulfonate,,,,,,,
XtLjH,100,333.15,1.47617,Lee et al. (2016),Refractive index,Liquid,ABoDJr,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CNC1CCCCC1,tetrabutylammonium 3-(cyclohexylamino)-2-hydroxypropanesulfonate,,,,,,,
XtLjH,100,338.15,1.47449,Lee et al. (2016),Refractive index,Liquid,ABoDJr,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CNC1CCCCC1,tetrabutylammonium 3-(cyclohexylamino)-2-hydroxypropanesulfonate,,,,,,,
XtLjH,100,343.15,1.47291,Lee et al. (2016),Refractive index,Liquid,ABoDJr,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CNC1CCCCC1,tetrabutylammonium 3-(cyclohexylamino)-2-hydroxypropanesulfonate,,,,,,,
XtLjH,100,348.15,1.47137,Lee et al. (2016),Refractive index,Liquid,ABoDJr,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CNC1CCCCC1,tetrabutylammonium 3-(cyclohexylamino)-2-hydroxypropanesulfonate,,,,,,,
XtLjH,100,353.15,1.46985,Lee et al. (2016),Refractive index,Liquid,ABoDJr,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CNC1CCCCC1,tetrabutylammonium 3-(cyclohexylamino)-2-hydroxypropanesulfonate,,,,,,,
