setid,Weight fraction of 1-ethyl-3-methylimidazolium chloride,Weight fraction of rubidium nitrate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
HLtdF,0,0.3987,101,298.15,1.36533,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
HLtdF,0.0541,0.3363,101,298.15,1.37128,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
HLtdF,0.1177,0.2784,101,298.15,1.37893,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
HLtdF,0.1892,0.2268,101,298.15,1.38871,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
HLtdF,0.2661,0.1844,101,298.15,1.39937,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
HLtdF,0.3504,0.1409,101,298.15,1.41218,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
HLtdF,0.4396,0.1018,101,298.15,1.42712,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
HLtdF,0.5358,0.0617,101,298.15,1.44266,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
HLtdF,0.6279,0.0379,101,298.15,1.45699,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
HLtdF,0.7151,0.026,101,298.15,1.47934,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
HLtdF,0.7999,0.0194,101,298.15,1.49936,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
