setid,"Temperature, K","Pressure, kPa",Mole fraction of 4-oxopentanoic acid,Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
yljxa,293.15,101,0.75,1.46416,Li et al. (2016a),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,,,,
yljxa,298.15,101,0.75,1.4626,Li et al. (2016a),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,,,,
yljxa,303.15,101,0.75,1.46103,Li et al. (2016a),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,,,,
yljxa,308.15,101,0.75,1.4594,Li et al. (2016a),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,,,,
yljxa,313.15,101,0.75,1.45796,Li et al. (2016a),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,,,,
yljxa,318.15,101,0.75,1.45635,Li et al. (2016a),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,,,,
yljxa,323.15,101,0.75,1.45478,Li et al. (2016a),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,,,,
yljxa,328.15,101,0.75,1.45324,Li et al. (2016a),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,,,,
yljxa,333.15,101,0.75,1.45172,Li et al. (2016a),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,,,,
yljxa,338.15,101,0.75,1.45028,Li et al. (2016a),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,,,,
yljxa,343.15,101,0.75,1.44875,Li et al. (2016a),Refractive index,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,,,,
